N-gramm,Count
flesh and,24
which the,24
nay but,24
not of,24
sir we,24
no longer,24
benedick don,24
are too,24
thee a,24
talk of,24
have had,24
pedro benedick,24
duke valentine,24
upon you,24
be his,24
love the,24
petruchio stage,24
made of,24
what say,24
us all,24
you by,24
dare not,24
three i,24
same a,24
fifteen i,24
if there,23
ever i,23
proteus julia,23
if your,23
is of,23
princess king,23
for in,23
thee with,23
sir my,23
duke viola,23
and me,23
him as,23
belch fabian,23
be patient,23
she a,23
for which,23
be made,23
of nature,23
is done,23
am the,23
pisanio stage,23
mine eye,23
am no,23
what says,23
to dinner,23
out the,23
bertram parolles,23
know i,23
love him,23
now by,23
is at,23
be sworn,23
if a,23
what of,23
as good,23
all but,23
your husband,23
dir troilus,23
come and,23
by some,23
falstaff quickly,23
dumaine berowne,23
mine and,23
myself and,23
young man,23
how the,23
of man,23
am in,23
proteus stage,23
bring him,23
isabella lucio,23
me by,23
how thou,23
know it,23
more i,23
heard of,23
will to,23
the cause,23
in them,23
and blood,23
canst not,23
parolles bertram,23
is good,23
master and,23
berowne costard,23
marina pericles,23
it doth,23
to one,23
boyet princess,23
that may,23
all things,23
helena stage,23
are now,23
that her,23
not tell,23
maria belch,23
was my,23
as is,23
wife and,23
a villain,23
that if,23
this was,23
to show,23
the gentleman,23
go you,22
yea and,22
tranio lucentio,22
hath no,22
say it,22
i and,22
mistress anne,22
then and,22
means to,22
enter sir,22
you your,22
say that,22
thou must,22
much to,22
him if,22
not go,22
fisherman two,22
thou shouldst,22
all our,22
fair and,22
was i,22
lord angelo,22
eightfive i,22
at me,22
the town,22
every day,22
must die,22
nerissa portia,22
one and,22
him my,22
quince bottom,22
thersites ajax,22
so the,22
to put,22
bear it,22
why how,22
the two,22
ford ford,22
she not,22
nor the,22
princess boyet,22
outlaw two,22
not your,22
it as,22
near the,22
the like,22
him by,22
and claudio,22
rosalind stage,22
o you,22
letter stage,22
they would,22
her by,22
tell her,22
one stage,22
no sir,22
for if,22
the city,22
than this,22
your heart,22
see it,22
the palace,22
the word,22
that no,22
two a,22
she has,22
an if,22
hortensio stage,22
nestor ulysses,22
but we,22
this my,22
thee thou,22
the young,22
parolles soldier,22
at once,22
the head,22
malvolio clown,22
prince and,22
her the,22
have with,22
even so,22
thirty i,22
curtis grumio,22
hence and,22
portia bassanio,22
speed proteus,22
had it,22
with it,22
costard king,22
this night,22
from this,22
a goodly,22
ulysses nestor,22
me at,22
all of,22
think he,22
stephano caliban,22
us and,22
i keep,22
ay that,22
can tell,22
take him,22
the purpose,22
hath the,22
to any,22
thersites patroclus,22
the fire,22
upon thee,22
and at,22
fie fie,22
eyes and,22
bawd boult,22
with what,22
you find,22
her eyes,22
have your,22
petruchio hortensio,21
i said,21
life i,21
i protest,21
when it,21
but with,21
up my,21
now for,21
your mistress,21
him out,21
of syracuse,21
eightthree i,21
parolles helena,21
for we,21
so good,21
give it,21
what do,21
the state,21
her but,21
have lost,21
an you,21
but is,21
down and,21
keep your,21
olivia malvolio,21
cause to,21
call him,21
to all,21
on and,21
three the,21
of men,21
i now,21
master slender,21
a soldier,21
a piece,21
as any,21
had the,21
for love,21
heaven and,21
there are,21
or two,21
part i,21
seventhree i,21
true and,21
benedick stage,21
good and,21
a dream,21
duke and,21
why that,21
king bertram,21
sent to,21
that makes,21
be here,21
what was,21
thee from,21
for they,21
be no,21
gremio tranio,21
me have,21
of ephesus,21
their own,21
sir is,21
cloten lord,21
she that,21
am to,21
friar peter,21
i desire,21
not see,21
launcelot gobbo,21
i confess,21
too and,21
we not,21
the general,21
thersites stage,21
me on,21
made a,21
that doth,21
and from,21
nay then,21
leave me,21
dir stage,21
he doth,21
yet the,21
with their,21
shylock portia,21
love of,21
have him,21
luce adriana,21
till the,21
antipholus of,21
adriana luce,21
what have,21
you at,21
to prison,21
that had,21
what will,21
enter the,21
his face,21
dir clown,21
a lord,21
that same,21
with them,21
her own,21
pandarus stage,21
be you,21
a father,21
thou wert,21
no such,21
though you,21
i hold,21
dir don,21
grumio curtis,21
that do,21
where the,21
make no,21
follow me,21
his eye,21
you then,21
of one,21
thee by,21
she should,21
madam i,21
dir king,21
has a,21
mine host,21
without a,21
that to,21
which to,21
even in,21
lucio isabella,21
proteus speed,21
he do,21
portia shylock,21
night and,21
see her,21
why thou,20
a paper,20
thee not,20
dir prospero,20
him the,20
of late,20
pompey escalus,20
set down,20
see how,20
she comes,20
camillo polixenes,20
in thee,20
take a,20
fool i,20
do what,20
her as,20
escalus pompey,20
lady and,20
thou the,20
will never,20
dir puck,20
i call,20
were it,20
adriana dromio,20
give us,20
signior benedick,20
but there,20
they can,20
more but,20
of heaven,20
that for,20
would he,20
well my,20
and though,20
two i,20
the hour,20
thy head,20
a street,20
a hundred,20
sweet lady,20
i bid,20
what it,20
sir what,20
not her,20
puck stage,20
king costard,20
and love,20
dir belch,20
a stranger,20
honour and,20
to an,20
i remember,20
were the,20
helena parolles,20
and well,20
twofour i,20
hither to,20
the fairest,20
belch maria,20
thou wast,20
as his,20
about the,20
life is,20
if any,20
you no,20
your leave,20
makes me,20
his life,20
you call,20
